bridge_fraction,noise_mode,seed,L_gov
0.05,oracle,1,0.0462069322252948
0.05,oracle,2,0.055474765208587164
0.05,oracle,3,0.04296770365411964
0.05,oracle,4,0.033607088036074886
0.05,oracle,5,0.04588201951203879
0.05,oracle,6,0.027346232699750946
0.05,oracle,7,0.04925213556131515
0.05,oracle,8,0.03411305723160932
0.05,oracle,9,0.05496637579546991
0.05,oracle,10,0.02594593197166977
0.05,oracle,11,0.020031563578664736
0.05,oracle,12,0.033932432309521754
0.05,oracle,13,0.037972399152318814
0.05,oracle,14,0.040805899553395655
0.05,oracle,15,0.04548450967610669
0.05,oracle,16,0.057623169066261186
0.05,oracle,17,0.025037197765443126
0.05,oracle,18,0.03857211834753241
0.05,oracle,19,0.04056670328462375
0.05,oracle,20,0.03794609105069186
0.05,oracle,21,0.018623436452666023
0.05,oracle,22,0.021980932288845657
0.05,oracle,23,0.03694108218106376
0.05,oracle,24,0.022018860324360068
0.05,oracle,25,0.03438713354351204
0.05,oracle,26,0.02393588353857637
0.05,oracle,27,0.037461688972406273
0.05,oracle,28,0.021344698742947418
0.05,oracle,29,0.04895198569954416
0.05,oracle,30,0.031695492333963154
0.05,oracle,31,0.028767944141992793
0.05,oracle,32,0.06223611960147733
0.05,oracle,33,0.07816114916137867
0.05,oracle,34,0.03116654507079413
0.05,oracle,35,0.04295769568934861
0.05,oracle,36,0.02049683261393033
0.05,oracle,37,0.015482645073582884
0.05,oracle,38,0.03380316247103962
0.05,oracle,39,0.04153584518362274
0.05,oracle,40,0.03868491847489669
0.05,oracle,41,0.03515112303810628
0.05,oracle,42,0.026357638333929654
0.05,oracle,43,0.03567197883897958
0.05,oracle,44,0.05975440231786413
0.05,oracle,45,0.02213223802729643
0.05,oracle,46,0.0245218046645752
0.05,oracle,47,0.024827867894720385
0.05,oracle,48,0.015010913365890173
0.05,oracle,49,0.02659926161929399
0.05,oracle,50,0.01788996779148019
0.05,fp_heavy,1,0.09853218778085035
0.05,fp_heavy,2,0.12347082076414276
0.05,fp_heavy,3,0.08789459254300853
0.05,fp_heavy,4,0.08805528248051933
0.05,fp_heavy,5,0.10095757506759434
0.05,fp_heavy,6,0.06880016603308428
0.05,fp_heavy,7,0.10661810778353738
0.05,fp_heavy,8,0.08430927945383154
0.05,fp_heavy,9,0.11361708690658102
0.05,fp_heavy,10,0.07020255419389199
0.05,fp_heavy,11,0.05487009691199807
0.05,fp_heavy,12,0.07257223230952176
0.05,fp_heavy,13,0.08626712137454104
0.05,fp_heavy,14,0.09515037733117343
0.05,fp_heavy,15,0.09280170967610668
0.05,fp_heavy,16,0.12685900239959452
0.05,fp_heavy,17,0.06321224220988757
0.05,fp_heavy,18,0.09800958501419907
0.05,fp_heavy,19,0.09435683661795707
0.05,fp_heavy,20,0.08940539105069184
0.05,fp_heavy,21,0.054424430897110465
0.05,fp_heavy,22,0.0555813767332901
0.05,fp_heavy,23,0.09658570440328598
0.05,fp_heavy,24,0.059876276991026725
0.05,fp_heavy,25,0.07745746687684538
0.05,fp_heavy,26,0.06807449464968748
0.05,fp_heavy,27,0.0875803611946285
0.05,fp_heavy,28,0.05768884874294741
0.05,fp_heavy,29,0.09684780792176638
0.05,fp_heavy,30,0.07398873677840759
0.05,fp_heavy,31,0.06685323303088168
0.05,fp_heavy,32,0.12167790849036622
0.05,fp_heavy,33,0.1471959936058231
0.05,fp_heavy,34,0.07223227840412746
0.05,fp_heavy,35,0.09892679013379306
0.05,fp_heavy,36,0.058244415947263664
0.05,fp_heavy,37,0.049292700629138445
0.05,fp_heavy,38,0.0693722791377063
0.05,fp_heavy,39,0.09238392851695608
0.05,fp_heavy,40,0.08023819625267446
0.05,fp_heavy,41,0.08578778970477295
0.05,fp_heavy,42,0.06753414944504076
0.05,fp_heavy,43,0.08048891217231291
0.05,fp_heavy,44,0.12810223565119747
0.05,fp_heavy,45,0.06156843802729643
0.05,fp_heavy,46,0.06341863799790853
0.05,fp_heavy,47,0.062027690116942605
0.05,fp_heavy,48,0.04855535781033462
0.05,fp_heavy,49,0.06847590606373843
0.05,fp_heavy,50,0.054542901124813525
0.12,oracle,1,0.03902025199919393
0.12,oracle,2,0.04089072644233017
0.12,oracle,3,0.04555099335615143
0.12,oracle,4,0.02521417825488677
0.12,oracle,5,0.04483146702724254
0.12,oracle,6,0.05813475075336035
0.12,oracle,7,0.05983590178225307
0.12,oracle,8,0.041786347916182055
0.12,oracle,9,0.06961621785093988
0.12,oracle,10,0.04124338330507298
0.12,oracle,11,0.02354821112403191
0.12,oracle,12,0.02266352775275553
0.12,oracle,13,0.02097912281012114
0.12,oracle,14,0.024517362371542686
0.12,oracle,15,0.031163647039408205
0.12,oracle,16,0.05621314982976581
0.12,oracle,17,0.026591011254376913
0.12,oracle,18,0.04152662629677833
0.12,oracle,19,0.046890055437692604
0.12,oracle,20,0.047431936755256275
0.12,oracle,21,0.045223527704453995
0.12,oracle,22,0.02248839375836325
0.12,oracle,23,0.04080802045619685
0.12,oracle,24,0.0236932628280311
0.12,oracle,25,0.06986974075889243
0.12,oracle,26,0.018149574862696704
0.12,oracle,27,0.04837733228661063
0.12,oracle,28,0.018552088738290666
0.12,oracle,29,0.04624560262168804
0.12,oracle,30,0.031178774627326735
0.12,oracle,31,0.021742548065994443
0.12,oracle,32,0.04613909352125622
0.12,oracle,33,0.07186599793328799
0.12,oracle,34,0.02860944880334715
0.12,oracle,35,0.06101111659978253
0.12,oracle,36,0.02975723997923799
0.12,oracle,37,0.027045070699413785
0.12,oracle,38,0.06968341237694652
0.12,oracle,39,0.03894720530509383
0.12,oracle,40,0.031208696260927673
0.12,oracle,41,0.03366582586526627
0.12,oracle,42,0.029788354176359597
0.12,oracle,43,0.06011716193068502
0.12,oracle,44,0.05145792343699142
0.12,oracle,45,0.02263534513178711
0.12,oracle,46,0.031243527757387896
0.12,oracle,47,0.03575271332724609
0.12,oracle,48,0.0270334391305807
0.12,oracle,49,0.02821479615426633
0.12,oracle,50,0.03993642217139691
0.12,fp_heavy,1,0.09043340506041841
0.12,fp_heavy,2,0.09299445501375875
0.12,fp_heavy,3,0.09583766342417865
0.12,fp_heavy,4,0.06374601498958064
0.12,fp_heavy,5,0.09891563437418133
0.12,fp_heavy,6,0.1132423698009794
0.12,fp_heavy,7,0.1214045031427973
0.12,fp_heavy,8,0.09239518124951539
0.12,fp_heavy,9,0.13153054166046368
0.12,fp_heavy,10,0.08593872106017503
0.12,fp_heavy,11,0.060171103981174756
0.12,fp_heavy,12,0.057034346800374586
0.12,fp_heavy,13,0.05340005580331842
0.12,fp_heavy,14,0.06773740046678078
0.12,fp_heavy,15,0.06778665690335378
0.12,fp_heavy,16,0.11040074268690866
0.12,fp_heavy,17,0.07109222962172385
0.12,fp_heavy,18,0.10216065078657424
0.12,fp_heavy,19,0.10957491768259055
0.12,fp_heavy,20,0.09947598981648076
0.12,fp_heavy,21,0.10333354199016828
0.12,fp_heavy,22,0.05765692947264896
0.12,fp_heavy,23,0.0956006327010948
0.12,fp_heavy,24,0.06418595330422157
0.12,fp_heavy,25,0.13235295504460673
0.12,fp_heavy,26,0.054381826563376964
0.12,fp_heavy,27,0.1040165370485154
0.12,fp_heavy,28,0.0511702452008757
0.12,fp_heavy,29,0.09199379649923906
0.12,fp_heavy,30,0.07095555013753081
0.12,fp_heavy,31,0.05595197663742302
0.12,fp_heavy,32,0.09545811733078002
0.12,fp_heavy,33,0.1382948761645805
0.12,fp_heavy,34,0.07475176444960566
0.12,fp_heavy,35,0.12064255435488458
0.12,fp_heavy,36,0.06902766855066655
0.12,fp_heavy,37,0.06847883124363147
0.12,fp_heavy,38,0.12915968584633428
0.12,fp_heavy,39,0.09211565258400539
0.12,fp_heavy,40,0.07515326768949909
0.12,fp_heavy,41,0.07983347892649076
0.12,fp_heavy,42,0.07371077560493103
0.12,fp_heavy,43,0.11991001907354215
0.12,fp_heavy,44,0.10834617717848802
0.12,fp_heavy,45,0.055907745131787104
0.12,fp_heavy,46,0.07174792639684369
0.12,fp_heavy,47,0.07920633509595357
0.12,fp_heavy,48,0.06490361055915213
0.12,fp_heavy,49,0.0704685597597085
0.12,fp_heavy,50,0.08874576740949215
0.2,oracle,1,0.05378073448923188
0.2,oracle,2,0.0280801580150384
0.2,oracle,3,0.03896884518305408
0.2,oracle,4,0.027456769039480352
0.2,oracle,5,0.04449115864849184
0.2,oracle,6,0.0719804652324215
0.2,oracle,7,0.06216815777102086
0.2,oracle,8,0.04528019286674189
0.2,oracle,9,0.051675068724077705
