seed,steps,n,topology,num_communities,p_in,p_out,bridge_fraction,delay_steps,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,noise_mode,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,regime
1,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,oracle,default,0.40023333333333333,0.8083333333333333,0.11666666666666664,0.023905508430764097,0.3913333333333333,0.4708333333333333,0.12916666666666665,0.021830152440043923,0.20843333333333333,0.35833333333333334,0.10833333333333334,0.01945410553642141,0.5988764059438029,0.7782794671778658,0.15780706197072558,0.029048940669718002,0.5994255196389581,0.7782794671778658,0.15780706197072558,0.02953246422930866,0.17587160506520574,0.4812723890982442,0.22226435758430518,0.04028809455001308,0.17683333333333331,0.5,0.25416666666666665,0.04644710252893428,2.1538210884874847,2.3532795368833717,0.21327746451322005,0.04576505111526777,0.3476666666666667,0.5416666666666666,0.33333333333333326,0.06647973793236218,0.036666666666666674,0.125,0.08333333333333333,0.022730302828309755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
2,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,oracle,default,0.36023333333333335,0.7833333333333333,0.125,0.027841336174831845,0.42736666666666673,0.4875,0.11250000000000004,0.02364867861001963,0.2124,0.3958333333333333,0.11666666666666667,0.022653574650470607,0.6231984676515532,0.8173656312456495,0.17717751942776971,0.03497120277432452,0.6221475596146231,0.8173656312456495,0.17717751942776971,0.034283974187716296,0.20809340671322787,0.5427709025931878,0.2681411824364495,0.05070577990023879,0.20856666666666668,0.5208333333333334,0.2791666666666667,0.0575285050117669,2.2369189065406165,2.4304341127478564,0.2541976420811216,0.054684259127225354,0.26799999999999996,0.5416666666666666,0.41666666666666663,0.08136611361275924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
3,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,oracle,default,0.3757333333333333,0.7583333333333333,0.1166666666666667,0.025636692454370943,0.41853333333333337,0.49166666666666664,0.13333333333333336,0.025977853816065887,0.2057333333333333,0.375,0.11250000000000002,0.019753086959876535,0.6278409467323609,0.8236024926971304,0.15823355263201366,0.02964426923961982,0.6277815702288112,0.8236024926971304,0.15823355263201366,0.029236171219923977,0.21742399353839575,0.5569098005449669,0.24550615617800658,0.04470731246730395,0.21553333333333333,0.5333333333333333,0.22916666666666669,0.04947046256774508,2.2121749298287985,2.4356173945032777,0.23787683763967848,0.04984622545838924,0.26,0.5,0.4166666666666667,0.07156970184527962,0.1076666666666667,0.25,0.20833333333333334,0.04088737919918294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
4,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,oracle,default,0.38739999999999997,0.8291666666666667,0.1375,0.025163156488096725,0.4331666666666667,0.49583333333333335,0.10833333333333334,0.025589711474210356,0.1794333333333333,0.375,0.09166666666666667,0.0200051659994779,0.5849018791913503,0.8002297583976261,0.1596892324536101,0.028529496911279786,0.5855986506735137,0.8002297583976261,0.1428463870095401,0.02706481336653489,0.1562699258808732,0.5130460890789146,0.17496386461779379,0.033483114940595846,0.15686666666666668,0.5416666666666666,0.21666666666666665,0.043388605775146895,2.215158066140057,2.4608063684573924,0.2820513711711423,0.04843753634313777,0.23599999999999993,0.5416666666666666,0.4583333333333333,0.07301902339649427,0.018666666666666665,0.125,0.08333333333333333,0.025525586292102196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
5,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,oracle,default,0.3599,0.8041666666666667,0.09999999999999998,0.022001666603540134,0.41956666666666664,0.5041666666666667,0.14583333333333331,0.0260300253980326,0.2205333333333333,0.38333333333333336,0.10416666666666669,0.021115923428119885,0.6124011736779694,0.7964575452265077,0.1483864930797687,0.02602467704344359,0.6123356279046919,0.7964575452265077,0.1483864930797687,0.026083763817040327,0.1863167786931577,0.49422713907735294,0.20600173518560755,0.03584568587350684,0.18693333333333334,0.525,0.27499999999999997,0.04237840120732363,2.2521613901397943,2.4427144885690777,0.21305633634971022,0.04241108642320954,0.22366666666666668,0.5,0.375,0.07255955408413758,0.006666666666666666,0.125,0.041666666666666664,0.015275252316519465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
6,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,oracle,default,0.3843333333333333,0.7833333333333333,0.12916666666666665,0.026248809496813377,0.3988333333333334,0.475,0.125,0.02389560629069704,0.21683333333333332,0.37916666666666665,0.10416666666666666,0.0232163735324878,0.6124227205179347,0.8178788957144972,0.15237182132242433,0.03133644659307088,0.6117747972431014,0.8178788957144972,0.15237182132242433,0.030991140468491336,0.190955182536052,0.5391006718290198,0.208642449651708,0.042862725910137546,0.19533333333333333,0.5333333333333333,0.2375,0.047062606057132965,2.2019803694341653,2.451355503432181,0.2650175487280779,0.05361396241702821,0.30599999999999994,0.5416666666666666,0.49999999999999994,0.08132650244538984,0.07766666666666669,0.16666666666666666,0.16666666666666666,0.04060103994289364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
7,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,oracle,default,0.3609666666666667,0.8083333333333333,0.1333333333333333,0.024497936421031236,0.4221,0.4875,0.1333333333333333,0.025632141281341805,0.2169333333333333,0.37083333333333335,0.10416666666666666,0.0203083453015968,0.628871465854463,0.7985483370104767,0.1350800980974265,0.027221180271739517,0.6285339845297733,0.7985483370104767,0.1350800980974265,0.027089591088333566,0.21352271645204354,0.5072099466045704,0.20578679010493628,0.041054272571308954,0.21743333333333337,0.5166666666666667,0.3041666666666667,0.05176438071793297,2.22431434392639,2.4464544020973396,0.2324123013508883,0.046627454320767835,0.3256666666666666,0.5833333333333334,0.375,0.07912437466840838,0.024333333333333332,0.125,0.08333333333333333,0.02591867623505834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
8,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,oracle,default,0.3554,0.8416666666666667,0.11249999999999999,0.022644744300707936,0.40379999999999994,0.4625,0.11666666666666664,0.025625594844044326,0.24080000000000001,0.4125,0.12500000000000003,0.019545502466466975,0.6459804005547926,0.8395774976711402,0.13550228758924743,0.025864013215091797,0.6458532091181004,0.8395774976711402,0.13550228758924743,0.026097183402402045,0.23735816147495195,0.5603040422325549,0.20662070411948225,0.04137230644159105,0.23973333333333338,0.5583333333333333,0.2625,0.051898790394810206,2.255614208568927,2.4892454085764304,0.19154951146767907,0.04212235612713524,0.2700000000000001,0.5833333333333334,0.375,0.07352248333370925,0.08033333333333333,0.16666666666666666,0.16666666666666666,0.03298821338330135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
9,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,oracle,default,0.3803,0.7625,0.1375,0.026679038796611678,0.42626666666666657,0.5,0.14583333333333331,0.028636728553070135,0.19343333333333335,0.4041666666666667,0.11249999999999999,0.02135847476868244,0.612294491423168,0.8483964913640509,0.1291552903577048,0.029232517232982827,0.6120804228360114,0.8483964913640509,0.1291552903577048,0.029474793616025136,0.19392665121356295,0.5894932662775029,0.1835515529468697,0.041707988616135686,0.1940333333333333,0.6416666666666667,0.22916666666666663,0.047361892792506605,2.1902304482987507,2.4379038654387863,0.23655861602059503,0.048964538174861044,0.22599999999999998,0.625,0.375,0.06061352984276696,0.08233333333333334,0.16666666666666666,0.16666666666666666,0.0351441476082592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
10,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,oracle,default,0.36403333333333326,0.8208333333333333,0.13333333333333336,0.024287262322277313,0.3998,0.4791666666666667,0.15000000000000002,0.027506847632301788,0.23616666666666666,0.37083333333333335,0.12083333333333332,0.022721746802959006,0.640250584970107,0.8356262828769803,0.14274148613359283,0.0300605052765773,0.6424613353397833,0.8356262828769803,0.14274148613359283,0.02974363867177238,0.2368582783766844,0.5653746388782029,0.22867473442318972,0.04771842779517277,0.24063333333333337,0.5875,0.26666666666666666,0.05570920530357218,2.2697421564794835,2.5816057032645134,0.24164515598306258,0.047710895316333664,0.1713333333333333,0.4166666666666667,0.375,0.06936537721050434,0.09666666666666669,0.25,0.20833333333333334,0.04203173404306164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
