seed,steps,n,topology,num_communities,p_in,p_out,bridge_fraction,delay_steps,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,noise_mode,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,regime
1,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,oracle,oracle,oracle,0.3721333333333333,0.8083333333333333,0.11666666666666664,0.021778021540585873,0.41263333333333335,0.475,0.10833333333333334,0.02371670765983808,0.21523333333333336,0.35833333333333334,0.11666666666666667,0.0243247930218441,0.6211006808607074,0.7782794671778658,0.16416243789496265,0.030331358244259293,0.621107439641878,0.7782794671778658,0.15293128279360768,0.03043717168629965,0.2076519690104039,0.48418752358532785,0.22767534172578585,0.04514766885892478,0.2065666666666667,0.5333333333333333,0.2416666666666667,0.05341208768725588,2.1821578625362346,2.3532795368833717,0.24037683021378475,0.04304839106833229,0.34866666666666674,0.5833333333333334,0.5,0.09979645952303785,0.04133333333333333,0.125,0.125,0.030955164709983732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
2,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,oracle,oracle,oracle,0.36023333333333335,0.7833333333333333,0.125,0.027841336174831845,0.42736666666666673,0.4875,0.11250000000000004,0.02364867861001963,0.2124,0.3958333333333333,0.11666666666666667,0.022653574650470607,0.6231984676515532,0.8173656312456495,0.17717751942776971,0.03497120277432452,0.6221475596146231,0.8173656312456495,0.17717751942776971,0.034283974187716296,0.20809340671322787,0.5427709025931878,0.2681411824364495,0.05070577990023879,0.20856666666666668,0.5208333333333334,0.2791666666666667,0.0575285050117669,2.2369189065406165,2.4304341127478564,0.2541976420811216,0.054684259127225354,0.26799999999999996,0.5416666666666666,0.41666666666666663,0.08136611361275924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
3,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,oracle,oracle,oracle,0.36273333333333335,0.7583333333333333,0.10833333333333334,0.0232874787528978,0.4148,0.475,0.11249999999999999,0.025475783708368137,0.22246666666666667,0.375,0.12499999999999997,0.022821140296760908,0.6332570585905537,0.8236024926971304,0.16070867581851034,0.02934803062340725,0.6353975654557756,0.8236024926971304,0.16070867581851034,0.03022113269321754,0.23236960121447905,0.5636272565449796,0.25705157491296343,0.04847216160158608,0.23333333333333336,0.5875,0.2833333333333333,0.0548153465940171,2.2387798937145673,2.4356173945032777,0.2301763433473818,0.04457014001421091,0.10633333333333334,0.4166666666666667,0.25,0.05808423002655521,0.04733333333333333,0.16666666666666666,0.16666666666666666,0.03885299931222241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
4,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,oracle,oracle,oracle,0.3927333333333333,0.8291666666666667,0.12083333333333335,0.023398148074865524,0.4043999999999999,0.4625,0.11249999999999999,0.023101851777629332,0.20286666666666664,0.375,0.09999999999999998,0.020161955372543717,0.5956199366471451,0.8002297583976261,0.13432054756628242,0.027896522508413603,0.5965568266742479,0.8002297583976261,0.13432054756628242,0.027851624207787532,0.17139441480704048,0.5165611129789771,0.17109691694893203,0.03641983135430978,0.17363333333333333,0.5083333333333333,0.20833333333333331,0.04542935908271948,2.21844626372844,2.4608063684573924,0.2206057590171815,0.04534242652264618,0.2786666666666667,0.4583333333333333,0.3333333333333333,0.06591577116964413,0.021999999999999995,0.125,0.08333333333333333,0.02331904324319027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
5,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,oracle,oracle,oracle,0.36069999999999997,0.8041666666666667,0.12083333333333335,0.021764752340526286,0.4247333333333333,0.5083333333333333,0.14583333333333331,0.022722626999926263,0.21456666666666666,0.38333333333333336,0.10833333333333331,0.021191088273664054,0.6060487823912776,0.7964575452265077,0.15174172506619132,0.027212757217960976,0.6041435637674254,0.7964575452265077,0.12891657652368138,0.026247288619954196,0.1763155401575457,0.49683515663775046,0.1691291750853817,0.03427888405226646,0.17646666666666666,0.5166666666666667,0.23750000000000004,0.04180396047160019,2.252432038559668,2.4427144885690777,0.22755898695306076,0.043116053430207635,0.1886666666666667,0.4583333333333333,0.375,0.07179755489491889,0.022999999999999993,0.125,0.08333333333333333,0.024413111231467405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
6,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,oracle,oracle,oracle,0.3820333333333334,0.7833333333333333,0.14583333333333331,0.027174416072638784,0.3927333333333333,0.4708333333333333,0.11249999999999999,0.025264731676126438,0.2252333333333333,0.37916666666666665,0.11666666666666664,0.02556747065228697,0.6179055926647607,0.8178788957144972,0.17827458823419007,0.03507874097945096,0.6189015245937282,0.8178788957144972,0.17827458823419007,0.03450536184546981,0.2034622594367019,0.5434049850393234,0.25994683232927895,0.05013351501623182,0.2081666666666667,0.5333333333333333,0.2583333333333333,0.054376261160342554,2.2060664147638964,2.451355503432181,0.28361921544097735,0.05551911646230605,0.22899999999999995,0.4583333333333333,0.375,0.07371566997592846,0.04266666666666668,0.16666666666666666,0.125,0.0351441476082592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
7,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,oracle,oracle,oracle,0.36283333333333334,0.8083333333333333,0.10833333333333334,0.021197484127446195,0.41833333333333333,0.49583333333333335,0.10416666666666669,0.021839057773732923,0.21883333333333335,0.37083333333333335,0.10000000000000003,0.020011108026404843,0.6304327435749854,0.7917530771595762,0.1398805729185787,0.0260035555790745,0.629451980581559,0.7917530771595762,0.1398805729185787,0.024965499196386135,0.2158328316783502,0.4992806958934565,0.21631665071225753,0.03852991763823486,0.218,0.5375,0.25416666666666665,0.04862155443376483,2.2200274973066674,2.419164653351195,0.22676425418783142,0.04165456052278774,0.3263333333333334,0.5416666666666666,0.4166666666666667,0.08109253973085316,0.02733333333333333,0.125,0.08333333333333333,0.027438820836342238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
8,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,oracle,oracle,oracle,0.37596666666666667,0.8416666666666667,0.1333333333333333,0.024181811346547222,0.3840333333333333,0.45,0.11666666666666664,0.023319853249014144,0.24,0.4125,0.11249999999999999,0.02187083293643233,0.6218416357261083,0.8395774976711402,0.16257714864360284,0.03103576090109438,0.6218312021245949,0.8395774976711402,0.16257714864360284,0.030419246425045395,0.2034078476035485,0.5630594463894756,0.23760273349489996,0.04384264547934706,0.20629999999999996,0.5458333333333333,0.2375,0.04764339758385555,2.201375712007642,2.4892454085764304,0.25659196697602527,0.04703802244899532,0.281,0.5833333333333334,0.33333333333333337,0.07507477753694794,0.031,0.16666666666666666,0.125,0.028821288428289713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
9,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,oracle,oracle,oracle,0.3436666666666667,0.7625,0.10416666666666669,0.02280716261762226,0.4682666666666666,0.5416666666666666,0.12916666666666665,0.026618623388731263,0.1880666666666667,0.4041666666666667,0.1,0.02053008632335589,0.6315811926307107,0.8483964913640509,0.1183534397320476,0.026166016249568064,0.6307123625860483,0.8483964913640509,0.11369284091739373,0.026898559685671015,0.22296283420816274,0.5948413837608185,0.17725951290099304,0.04243221014280121,0.22673333333333334,0.6458333333333334,0.25416666666666665,0.04857463901621457,2.243077241073593,2.4379038654387863,0.17562063520208593,0.041569720177373544,0.21433333333333332,0.625,0.2916666666666667,0.07025825376581903,0.037,0.16666666666666666,0.125,0.030829279012724968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
10,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,oracle,oracle,oracle,0.3673,0.8208333333333333,0.12083333333333329,0.02152554038552549,0.38833333333333336,0.4666666666666667,0.12083333333333335,0.023996527526567953,0.24436666666666668,0.3541666666666667,0.10416666666666666,0.021751475045767972,0.6388023563085641,0.8356262828769803,0.12435612366249882,0.027500508900961035,0.6402762240434062,0.8356262828769803,0.12435612366249882,0.028625415403113728,0.23745050739947574,0.5727913699769267,0.19691102449401768,0.045524469586566675,0.2375666666666667,0.5958333333333333,0.22499999999999998,0.052395356028309734,2.2679491415040802,2.5816057032645134,0.2259062614739613,0.042747353352520466,0.25166666666666665,0.5833333333333334,0.4166666666666667,0.07571877794400365,0.09999999999999999,0.20833333333333334,0.20833333333333334,0.04944132324730441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
