seed,steps,n,topology,num_communities,p_in,p_out,bridge_fraction,delay_steps,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,regime
1,250,240,er,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.3673,0.7916666666666666,0.1166666666666667,0.026071781254409485,0.41556666666666675,0.48333333333333334,0.12916666666666665,0.025490433935541824,0.21713333333333334,0.35833333333333334,0.10416666666666669,0.020757970356789057,0.6011246293445017,0.7776280921910481,0.13051980824553255,0.02991155804193174,0.6003600959176072,0.7776280921910481,0.13051980824553255,0.029639856536241918,0.1720224423398198,0.4661680520883558,0.16374159897045548,0.03754916973018022,0.17056666666666667,0.5041666666666667,0.19583333333333336,0.04130423707078973,2.1995172400782588,2.3863017638361277,0.2195560565856005,0.048910202968411164,0.31266666666666676,0.75,0.6666666666666666,0.1108833220602229,0.043333333333333335,0.16666666666666666,0.16666666666666666,0.05228129047119373,0.07826666666666665,0.13333333333333333,0.10833333333333334,0.017768448941249144,0.04193333333333333,0.07916666666666666,0.0625,0.011313021013170816,0.09933333333333333,0.4166666666666667,0.4166666666666667,0.08672818329573022,0.03933333333333333,0.16666666666666666,0.16666666666666666,0.05008437325598118,stable
2,250,240,er,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.37563333333333326,0.7916666666666666,0.125,0.02355876812474616,0.3781333333333334,0.43333333333333335,0.08750000000000002,0.0206670430073261,0.2462333333333333,0.3625,0.09166666666666667,0.019195080388243003,0.6365098809170369,0.8099204335144835,0.14795579534490866,0.02853417351562238,0.636212056388536,0.8099204335144835,0.14795579534490866,0.02770811812985231,0.22356503722644283,0.5208945847655808,0.22734787790912825,0.04278858369797393,0.22626666666666667,0.5208333333333334,0.27499999999999997,0.05309641126186297,2.2150296780184693,2.444113097157758,0.24684422960575914,0.0462852396307571,0.342,0.5833333333333334,0.5,0.09239047569960877,0.236,0.3333333333333333,0.25,0.069710512518239,0.0726,0.12083333333333333,0.08333333333333334,0.01600576285106225,0.051766666666666655,0.0875,0.06666666666666667,0.011963648644493405,0.052,0.25,0.25,0.07044619696382955,0.10133333333333332,0.3333333333333333,0.3333333333333333,0.07570703768841808,stable
3,250,240,er,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.3199666666666667,0.8083333333333333,0.1958333333333333,0.03278421029160905,0.4378999999999999,0.5166666666666667,0.16250000000000003,0.028202757942363637,0.24213333333333328,0.3625,0.15,0.025659176396239484,0.6815262488854238,0.822979662796086,0.25790252435304295,0.04036082369271596,0.6829553041306398,0.822979662796086,0.25790252435304295,0.04007532337694709,0.30763434886879426,0.5496669046941528,0.3811497916415355,0.06716933090760342,0.3023333333333334,0.5541666666666667,0.3416666666666667,0.07151417885830598,2.2930580529461166,2.431289267719397,0.367816016715528,0.06006449175212599,0.5479999999999999,0.9166666666666666,0.8333333333333334,0.1674196324608716,0.07600000000000001,0.08333333333333333,0.08333333333333333,0.023607908279501027,0.06903333333333332,0.11666666666666667,0.07500000000000001,0.01464710817116395,0.05173333333333334,0.0875,0.06666666666666667,0.013082898081932087,0.076,0.3333333333333333,0.25,0.07454752399196994,0.018666666666666665,0.08333333333333333,0.08333333333333333,0.03474350458878769,stable
4,250,240,er,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.34586666666666666,0.8291666666666667,0.12916666666666665,0.02383680627377194,0.4446666666666667,0.5,0.1166666666666667,0.02168973131332992,0.2094666666666667,0.36666666666666664,0.11250000000000002,0.021182907155429715,0.6300690187743709,0.8065293149066111,0.13830309161209997,0.02914822045892609,0.6297745511705648,0.8065293149066111,0.13830309161209997,0.02883427178392194,0.21378197047936637,0.5151246029827043,0.20872945091978415,0.04344594018759981,0.2179666666666667,0.5375,0.2916666666666667,0.053002662406922744,2.2401584908449204,2.4771854363995245,0.23619320204949812,0.04683909696900451,0.27466666666666667,0.5833333333333334,0.5833333333333334,0.0966229786334493,0.11733333333333335,0.25,0.25,0.06332982446420223,0.07866666666666666,0.1375,0.07916666666666666,0.016820952542720178,0.05733333333333333,0.09583333333333334,0.06666666666666665,0.013074572438303457,0.05399999999999999,0.25,0.25,0.057980839747090396,0.10999999999999999,0.3333333333333333,0.3333333333333333,0.08919392106839769,stable
5,250,240,er,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.3585666666666667,0.8333333333333334,0.1291666666666667,0.02384733854239411,0.41359999999999997,0.4875,0.125,0.02349434920240278,0.22783333333333328,0.3958333333333333,0.12083333333333332,0.021849230853485183,0.6167098295605412,0.8074140489730255,0.1477599028215414,0.028856384604569803,0.6164076598013774,0.8074140489730255,0.1477599028215414,0.029013330800259664,0.18968776729736006,0.5037426753423866,0.20856387751390362,0.040237577060002194,0.18813333333333332,0.5791666666666667,0.25,0.05013054070236138,2.244141326654167,2.4995312079884964,0.24591625310162968,0.045988156366416955,0.37599999999999995,0.5833333333333334,0.41666666666666674,0.09753403964200855,0.11866666666666667,0.25,0.25,0.06688630485964804,0.07793333333333333,0.12916666666666668,0.09583333333333335,0.017408682380416454,0.0481,0.08333333333333333,0.05,0.010948160677585174,0.047333333333333324,0.25,0.16666666666666666,0.055112007161174356,0.05999999999999999,0.25,0.25,0.061101009266077866,stable
6,250,240,er,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.3597666666666667,0.8125,0.12916666666666665,0.024330502118397258,0.43223333333333336,0.49166666666666664,0.09999999999999998,0.021609822869344503,0.208,0.36666666666666664,0.11250000000000002,0.021721724916160163,0.6138032474985853,0.788809531231468,0.16513163730556835,0.029483999708015747,0.6137935080456702,0.788809531231468,0.16513163730556835,0.029746189722819123,0.19130419695349915,0.48799494223239787,0.2328104819476685,0.04152301124045042,0.1914,0.5125,0.25416666666666665,0.045193239415745455,2.197698918472177,2.3974542400682735,0.24509716610123355,0.0468600907295982,0.3733333333333333,0.6666666666666666,0.5833333333333333,0.11430952132988165,0.068,0.25,0.16666666666666666,0.041344084623236396,0.0708,0.1125,0.07500000000000001,0.016317134824744475,0.05113333333333332,0.0875,0.06249999999999999,0.012587206909309855,0.035333333333333335,0.25,0.16666666666666666,0.054020572213021055,0.06266666666666666,0.25,0.16666666666666666,0.06205374015050717,stable
7,250,240,er,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.3609666666666666,0.7958333333333333,0.11666666666666664,0.024594127573693506,0.39703333333333324,0.4708333333333333,0.12916666666666665,0.026229838818499145,0.242,0.37916666666666665,0.09999999999999998,0.019983326383095818,0.6360187348543448,0.780364298669194,0.1494674863937535,0.027104410069015067,0.6353240820972689,0.780364298669194,0.1494674863937535,0.027475023217502878,0.22059721797881252,0.4702349728975238,0.21615416700854853,0.040610312749192606,0.2203,0.4625,0.2125,0.04572555813400933,2.1922204956774753,2.3467606882187937,0.24939167150016273,0.04416108145450997,0.37066666666666664,0.6666666666666666,0.5833333333333333,0.10190191362285597,0.18266666666666664,0.25,0.16666666666666669,0.05343323975870367,0.0769,0.11666666666666667,0.0875,0.01724419386988624,0.0552,0.10833333333333334,0.08333333333333334,0.013628564773217236,0.10000000000000002,0.3333333333333333,0.3333333333333333,0.08628119403696523,0.06666666666666665,0.25,0.25,0.06582805886043834,stable
8,250,240,er,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.3497666666666667,0.8041666666666667,0.1291666666666667,0.02394614327564624,0.4106333333333333,0.4708333333333333,0.125,0.024068513317887612,0.23960000000000004,0.37916666666666665,0.11250000000000002,0.02040985600689584,0.6323410256521785,0.8216581245150775,0.14442502709215888,0.02763278103797216,0.632659836842891,0.8216581245150775,0.14442502709215888,0.027186497899966255,0.2158724082261402,0.5325697706980425,0.21249590160640697,0.040398245896782856,0.21736666666666668,0.5458333333333333,0.22916666666666663,0.04752992040108349,2.2246856241346955,2.4676396821033557,0.2391135804562925,0.045406739255547564,0.23266666666666666,0.5833333333333334,0.4166666666666667,0.08252676333570018,0.04466666666666667,0.16666666666666666,0.16666666666666666,0.04659995231280345,0.07423333333333332,0.12083333333333333,0.0875,0.01624794004037298,0.044833333333333336,0.07916666666666666,0.058333333333333334,0.01225198396632607,0.07066666666666668,0.25,0.25,0.062410825271831734,0.068,0.25,0.16666666666666666,0.06180974392799605,stable
9,250,240,er,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.37873333333333337,0.8166666666666667,0.11666666666666664,0.023914337865714688,0.40193333333333325,0.4666666666666667,0.13333333333333336,0.02674750247946318,0.2193333333333333,0.4,0.1416666666666667,0.021339842756892304,0.6155560469805055,0.8167730287493176,0.15969438057493246,0.02792695770159242,0.6159454808064907,0.8167730287493176,0.15969438057493246,0.028281034570028892,0.19468335261943817,0.5332270012224002,0.24049758271131044,0.041112264713054895,0.19243333333333335,0.5375,0.2333333333333333,0.045007357423228284,2.172477063353376,2.4638815302786887,0.21380944675894842,0.04414627246656851,0.19866666666666663,0.5,0.5,0.10476640682967035,0.09133333333333335,0.25,0.25,0.07025667228100117,0.07036666666666666,0.10416666666666667,0.06666666666666668,0.014918444959177213,0.0569,0.1,0.06666666666666668,0.011903594228448632,0.042666666666666665,0.25,0.16666666666666666,0.05438136935875496,0.08133333333333333,0.3333333333333333,0.25,0.06787570339312228,stable
10,250,240,er,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.36800000000000005,0.8125,0.1375,0.02301328118958944,0.38546666666666657,0.475,0.12083333333333335,0.02677901334171137,0.24653333333333335,0.4083333333333333,0.11250000000000002,0.022710350063352175,0.6247659893039809,0.8434885706748257,0.16015625109145193,0.027803719807004544,0.6236342256826864,0.8434885706748257,0.16015625109145193,0.02745943542661795,0.20336344019410316,0.5637529753525691,0.22885937644334114,0.03903489895830115,0.2033333333333333,0.575,0.2833333333333333,0.04605552204797065,2.2427236313782317,2.5126463384848305,0.28414814990897774,0.045849640976540415,0.2633333333333333,0.6666666666666666,0.5833333333333334,0.11469767022723504,0.06266666666666666,0.25,0.16666666666666666,0.05339163480046913,0.0759,0.11666666666666667,0.07500000000000001,0.016275270948418786,0.05686666666666666,0.09166666666666666,0.06666666666666665,0.012306908628896211,0.07466666666666667,0.3333333333333333,0.3333333333333333,0.07733333333333335,0.06466666666666666,0.25,0.25,0.061340579282125024,stable
